event_message,event_type,function_id,id,level,timestamp
shutdown,Shutdown,e605a265-a5d9-4785-aa01-a6e60c3b561b,4685cb3f-dfca-4bf5-9010-dba99668caad,log,1770138884187000
shutdown,Shutdown,e605a265-a5d9-4785-aa01-a6e60c3b561b,d53e9994-dcc5-4740-9f16-f69aae0a5af8,log,1770138831298000
"[MASTER-DATA] ERROR - {""message"":""Unknown resource: master-user-full""}
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,dcb60893-655f-4b33-adb7-36ddc8e35a7c,info,1770138818806000
"[MASTER-DATA] User authenticated - {""userId"":""cdc32c8f-32cd-439e-8103-e034d16eebf2""}
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,bfd954c9-479e-4c11-afa3-87503266ee48,info,1770138818806000
"[MASTER-DATA] Resource requested - {""resource"":""master-user-full"",""pathSuffix"":""master-user-full""}
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,45dcd9f1-606b-468e-bd75-9270a251e55d,info,1770138818806000
"Listening on http://localhost:9999/
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,740890b6-df98-439f-aca5-bd1d4db41d98,info,1770138818522000
booted (time: 29ms),Boot,e605a265-a5d9-4785-aa01-a6e60c3b561b,953d1352-b67a-412f-b94a-e5f1f1481a66,log,1770138818519000
shutdown,Shutdown,e605a265-a5d9-4785-aa01-a6e60c3b561b,7c3ae74e-b36c-46e4-ab30-4cca15014362,log,1770138818355000
"Listening on http://localhost:9999/
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,a4e43c16-4d6d-4a26-a61a-b6375af7d961,info,1770138818310000
booted (time: 23ms),Boot,e605a265-a5d9-4785-aa01-a6e60c3b561b,a52647a8-6c25-40c2-8066-ca088b67fb4b,log,1770138818308000
shutdown,Shutdown,e605a265-a5d9-4785-aa01-a6e60c3b561b,458015bf-61e5-4479-8663-bdfea86b5049,log,1770138786536000
"[MASTER-DATA] Resource requested - {""resource"":""master-user-full"",""pathSuffix"":""master-user-full""}
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,8ff3a06a-911f-4817-a5ec-57856cb1277a,info,1770138764873000
"[MASTER-DATA] ERROR - {""message"":""Unknown resource: master-user-full""}
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,f679e444-9c4e-4eee-952b-025ce4631706,info,1770138764873000
"[MASTER-DATA] User authenticated - {""userId"":""cdc32c8f-32cd-439e-8103-e034d16eebf2""}
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,3cdb934e-b696-41e6-b9cf-eefbf5f0c68a,info,1770138764873000
"Listening on http://localhost:9999/
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,376a5875-bd03-43ad-937d-0650ba5b34b6,info,1770138764503000
booted (time: 40ms),Boot,e605a265-a5d9-4785-aa01-a6e60c3b561b,b74a0233-84fc-4a36-8962-b8e027166657,log,1770138764499000
"Listening on http://localhost:9999/
",Log,e605a265-a5d9-4785-aa01-a6e60c3b561b,be5ddec2-495c-4145-8a36-9b4199aee171,info,1770138764210000
